t, v, gamma, h
-231.18, 6050.46, -1.12133, 1.04362e+06
-231.08, 6050.52, -1.12126, 1.04308e+06
-230.98, 6050.58, -1.12119, 1.04253e+06
-230.88, 6050.64, -1.12113, 1.04199e+06
-230.78, 6050.71, -1.12106, 1.04144e+06
-230.68, 6050.77, -1.12099, 1.0409e+06
-230.58, 6050.83, -1.12092, 1.04035e+06
-230.48, 6050.89, -1.12085, 1.03981e+06
-230.38, 6050.95, -1.12079, 1.03926e+06
-230.28, 6051.02, -1.12072, 1.03872e+06
-230.18, 6051.08, -1.12065, 1.03817e+06
-230.08, 6051.14, -1.12058, 1.03763e+06
-229.98, 6051.2, -1.12051, 1.03708e+06
-229.88, 6051.26, -1.12045, 1.03654e+06
-229.78, 6051.33, -1.12038, 1.03599e+06
-229.68, 6051.39, -1.12031, 1.03545e+06
-229.58, 6051.45, -1.12024, 1.0349e+06
-229.48, 6051.51, -1.12017, 1.03436e+06
-229.38, 6051.57, -1.12011, 1.03381e+06
-229.28, 6051.64, -1.12004, 1.03327e+06
-229.18, 6051.7, -1.11997, 1.03273e+06
-229.08, 6051.76, -1.1199, 1.03218e+06
-228.98, 6051.82, -1.11983, 1.03164e+06
-228.88, 6051.88, -1.11977, 1.03109e+06
-228.78, 6051.95, -1.1197, 1.03055e+06
-228.68, 6052.01, -1.11963, 1.03e+06
-228.58, 6052.07, -1.11956, 1.02946e+06
-228.48, 6052.13, -1.11949, 1.02891e+06
-228.38, 6052.19, -1.11942, 1.02837e+06
-228.28, 6052.26, -1.11936, 1.02782e+06
-228.18, 6052.32, -1.11929, 1.02728e+06
-228.08, 6052.38, -1.11922, 1.02673e+06
-227.98, 6052.44, -1.11915, 1.02619e+06
-227.88, 6052.51, -1.11908, 1.02565e+06
-227.78, 6052.57, -1.11901, 1.0251e+06
-227.68, 6052.63, -1.11895, 1.02456e+06
-227.58, 6052.69, -1.11888, 1.02401e+06
-227.48, 6052.76, -1.11881, 1.02347e+06
-227.38, 6052.82, -1.11874, 1.02292e+06
-227.28, 6052.88, -1.11867, 1.02238e+06
-227.18, 6052.94, -1.1186, 1.02183e+06
-227.08, 6053, -1.11854, 1.02129e+06
-226.98, 6053.07, -1.11847, 1.02074e+06
-226.88, 6053.13, -1.1184, 1.0202e+06
-226.78, 6053.19, -1.11833, 1.01966e+06
-226.68, 6053.25, -1.11826, 1.01911e+06
